filename,width,height,class,xmin,ymin,xmax,ymax
evac2247.jpg,300,300,dead_ball,138,59,291,216
evac2893.jpg,300,300,dead_ball,113,19,130,37
evac2893.jpg,300,300,alive_ball,127,16,143,36
evac1527.jpg,300,300,alive_ball,58,47,128,116
evac1527.jpg,300,300,alive_ball,31,32,71,76
evac2434.jpg,300,300,dead_ball,54,60,122,131
evac2434.jpg,300,300,alive_ball,130,49,181,104
evac2434.jpg,300,300,dead_ball,197,44,289,138
evac2706.jpg,300,300,dead_ball,183,26,225,66
evac2182.jpg,300,300,dead_ball,37,158,241,300
evac2182.jpg,300,300,alive_ball,64,95,193,201
evac2182.jpg,300,300,alive_ball,164,43,297,179
evac2223.jpg,300,300,dead_ball,108,51,236,185
evac2335.jpg,300,300,alive_ball,3,71,78,149
evac2335.jpg,300,300,dead_ball,169,25,241,105
evac2335.jpg,300,300,dead_ball,92,89,181,179
evac2335.jpg,300,300,alive_ball,95,37,175,113
evac2335.jpg,300,300,alive_ball,197,37,296,138
evac2990.jpg,300,300,alive_ball,80,47,160,127
evac2450.jpg,300,300,dead_ball,28,41,80,94
evac2450.jpg,300,300,dead_ball,93,35,170,113
evac2450.jpg,300,300,alive_ball,165,57,300,195
evac2450.jpg,300,300,alive_ball,248,34,300,121
evac509.jpg,300,300,dead_ball,142,53,266,177
evac509.jpg,300,300,dead_ball,294,110,300,151
evac2829.jpg,300,300,dead_ball,245,22,268,44
evac2829.jpg,300,300,dead_ball,229,17,252,42
evac2829.jpg,300,300,alive_ball,18,18,32,33
evac2829.jpg,300,300,alive_ball,29,15,45,32
evac2829.jpg,300,300,alive_ball,50,27,96,75
evac290.jpg,300,300,alive_ball,23,76,224,284
evac290.jpg,300,300,alive_ball,166,20,204,61
evac290.jpg,300,300,dead_ball,187,17,223,56
evac290.jpg,300,300,dead_ball,1,41,53,182
evac1951.jpg,300,300,dead_ball,28,9,66,48
evac126.jpg,300,300,alive_ball,138,40,204,108
evac126.jpg,300,300,dead_ball,1,21,48,105
evac126.jpg,300,300,dead_ball,176,33,223,89
evac2633.jpg,300,300,dead_ball,15,11,48,44
evac2633.jpg,300,300,alive_ball,91,12,123,46
evac2633.jpg,300,300,alive_ball,165,18,192,45
evac2633.jpg,300,300,dead_ball,220,17,243,42
evac2870.jpg,300,300,dead_ball,266,21,287,42
evac2870.jpg,300,300,dead_ball,246,15,270,41
evac2870.jpg,300,300,alive_ball,3,18,19,34
evac2870.jpg,300,300,alive_ball,13,13,33,34
evac2870.jpg,300,300,alive_ball,99,28,155,88
evac143.jpg,300,300,dead_ball,238,1,262,22
evac365.jpg,300,300,alive_ball,1,23,67,99
evac365.jpg,300,300,alive_ball,109,18,142,55
evac365.jpg,300,300,dead_ball,74,19,108,55
evac2791.jpg,300,300,dead_ball,202,44,242,91
evac2791.jpg,300,300,dead_ball,143,30,201,88
evac2215.jpg,300,300,alive_ball,126,43,239,156
evac2684.jpg,300,300,dead_ball,50,80,156,185
evac297.jpg,300,300,alive_ball,54,58,141,147
evac297.jpg,300,300,dead_ball,159,65,250,157
evac1927.jpg,300,300,dead_ball,58,7,99,50
evac1927.jpg,300,300,alive_ball,95,2,126,38
evac1927.jpg,300,300,alive_ball,219,9,251,39
evac455.jpg,300,300,alive_ball,86,183,300,300
evac455.jpg,300,300,dead_ball,143,93,266,209
evac455.jpg,300,300,dead_ball,1,73,147,268
evac1576.jpg,300,300,alive_ball,172,128,300,300
evac1111.jpg,300,300,dead_ball,186,57,295,175
evac1111.jpg,300,300,alive_ball,229,44,300,112
evac1518.jpg,300,300,dead_ball,44,24,130,110
evac1518.jpg,300,300,alive_ball,256,12,290,42
evac2386.jpg,300,300,alive_ball,124,42,167,87
evac2386.jpg,300,300,dead_ball,150,49,205,107
evac2386.jpg,300,300,alive_ball,184,27,241,88
evac2386.jpg,300,300,dead_ball,243,25,300,93
evac2386.jpg,300,300,alive_ball,233,32,300,104
evac2837.jpg,300,300,dead_ball,159,18,177,36
evac2837.jpg,300,300,dead_ball,146,13,166,35
evac2837.jpg,300,300,alive_ball,1,21,36,61
evac1144.jpg,300,300,alive_ball,258,11,287,42
evac780.jpg,300,300,alive_ball,226,11,291,60
evac1698.jpg,300,300,dead_ball,246,18,300,81
evac2347.jpg,300,300,alive_ball,208,52,273,116
evac2347.jpg,300,300,alive_ball,120,43,205,131
evac2347.jpg,300,300,alive_ball,51,41,112,100
evac2347.jpg,300,300,dead_ball,29,50,124,144
evac1982.jpg,300,300,alive_ball,52,49,106,80
evac1982.jpg,300,300,dead_ball,276,43,300,66
evac2069.jpg,300,300,alive_ball,168,26,217,76
evac2069.jpg,300,300,alive_ball,29,2,60,37
evac1972.jpg,300,300,dead_ball,35,24,117,107
evac1201.jpg,300,300,dead_ball,55,31,105,82
evac1201.jpg,300,300,alive_ball,1,27,8,56
evac2365.jpg,300,300,alive_ball,65,44,110,88
evac2365.jpg,300,300,alive_ball,105,28,151,80
evac2365.jpg,300,300,alive_ball,167,29,211,81
evac2365.jpg,300,300,dead_ball,138,28,178,68
evac2365.jpg,300,300,dead_ball,137,47,181,95
evac1442.jpg,300,300,alive_ball,156,16,215,82
evac2405.jpg,300,300,dead_ball,98,1,115,11
