filename,width,height,class,xmin,ymin,xmax,ymax
zone240.jpg,300,300,zone,1,12,279,79
zone323.jpg,300,300,zone,1,18,300,211
zone84.jpg,300,300,zone,122,11,300,72
zone405.jpg,300,300,zone,62,12,300,79
zone472.jpg,300,300,zone,1,13,184,66
zone296.jpg,300,300,zone,1,11,187,54
zone310.jpg,300,300,zone,1,13,79,58
zone149.jpg,300,300,zone,67,7,300,109
zone209.jpg,300,300,zone,50,10,300,63
zone43.jpg,300,300,zone,1,13,300,109
zone88.jpg,300,300,zone,128,15,300,72
zone124.jpg,300,300,zone,1,11,207,73
zone80.jpg,300,300,zone,1,9,68,59
zone102.jpg,300,300,zone,1,12,206,74
zone338.jpg,300,300,zone,1,9,231,55
zone92.jpg,300,300,zone,82,12,300,83
zone451.jpg,300,300,zone,14,13,274,55
zone408.jpg,300,300,zone,80,13,300,75
zone55.jpg,300,300,zone,85,9,300,71
zone416.jpg,300,300,zone,1,11,238,68
zone140.jpg,300,300,zone,1,16,296,162
zone62.jpg,300,300,zone,20,11,291,69
zone264.jpg,300,300,zone,1,11,210,72
zone2.jpg,300,300,zone,78,15,300,72
zone271.jpg,300,300,zone,1,6,300,91
zone223.jpg,300,300,zone,189,13,300,75
zone119.jpg,300,300,zone,12,12,300,68
zone8.jpg,300,300,zone,41,17,300,99
zone239.jpg,300,300,zone,132,13,300,79
zone251.jpg,300,300,zone,1,9,269,69
zone284.jpg,300,300,zone,1,11,142,51
zone194.jpg,300,300,zone,1,9,230,67
zone430.jpg,300,300,zone,139,12,300,50
zone219.jpg,300,300,zone,1,8,300,82
zone112.jpg,300,300,zone,1,9,174,67
zone87.jpg,300,300,zone,186,16,300,72
zone396.jpg,300,300,zone,177,13,300,68
zone322.jpg,300,300,zone,1,17,300,165
zone463.jpg,300,300,zone,81,12,300,70
zone230.jpg,300,300,zone,26,13,300,67
zone36.jpg,300,300,zone,1,12,227,77
zone245.jpg,300,300,zone,53,9,300,58
zone210.jpg,300,300,zone,155,13,300,70
zone436.jpg,300,300,zone,175,9,300,50
zone403.jpg,300,300,zone,36,11,300,75
zone106.jpg,300,300,zone,229,15,300,70
zone97.jpg,300,300,zone,1,12,300,72
zone76.jpg,300,300,zone,1,12,120,68
zone158.jpg,300,300,zone,52,10,300,62
zone341.jpg,300,300,zone,1,10,205,59
zone180.jpg,300,300,zone,175,12,300,86
zone247.jpg,300,300,zone,67,10,300,62
zone290.jpg,300,300,zone,1,11,122,54
zone477.jpg,300,300,zone,97,12,300,57
zone56.jpg,300,300,zone,91,10,300,70
zone329.jpg,300,300,zone,1,8,173,57
zone32.jpg,300,300,zone,1,11,123,60
zone253.jpg,300,300,zone,1,9,141,55
zone165.jpg,300,300,zone,218,14,300,55
zone298.jpg,300,300,zone,1,10,136,50
zone392.jpg,300,300,zone,56,15,300,62
zone52.jpg,300,300,zone,139,13,300,66
zone113.jpg,300,300,zone,1,11,193,68
zone148.jpg,300,300,zone,61,11,300,87
zone114.jpg,300,300,zone,1,9,279,68
zone71.jpg,300,300,zone,146,17,300,95
zone348.jpg,300,300,zone,1,9,258,59
zone344.jpg,300,300,zone,1,10,198,59
zone259.jpg,300,300,zone,1,16,250,104
zone445.jpg,300,300,zone,1,10,253,60
zone360.jpg,300,300,zone,1,10,258,58
zone42.jpg,300,300,zone,29,13,300,92
zone278.jpg,300,300,zone,1,4,129,49
zone313.jpg,300,300,zone,1,7,235,51
zone59.jpg,300,300,zone,60,11,300,59
zone235.jpg,300,300,zone,14,12,300,66
zone432.jpg,300,300,zone,98,10,300,48
zone153.jpg,300,300,zone,1,10,254,76
zone178.jpg,300,300,zone,188,9,300,79
zone327.jpg,300,300,zone,1,14,244,81
zone67.jpg,300,300,zone,1,14,300,164
zone220.jpg,300,300,zone,156,10,300,81
zone353.jpg,300,300,zone,1,9,258,59
zone122.jpg,300,300,zone,3,13,300,68
zone136.jpg,300,300,zone,50,10,300,62
zone172.jpg,300,300,zone,191,11,300,69
zone263.jpg,300,300,zone,1,7,158,78
